,Year,TRB%,AST%,STL%,BLK%,TOV%,USG%,3P%,2P%,FT%
0,1982.0,13.4,11.9,1.1,4.1,13.3,25.6,0.0,0.58,0.706
1,1982.0,13.6,22.1,2.3,1.9,14.8,22.8,0.0,0.494,0.7809999999999999
2,1982.0,9.7,18.6,1.2,0.9,12.7,29.8,0.35200000000000004,0.475,0.68
3,1982.0,5.5,19.7,3.1,0.3,17.5,21.5,0.294,0.363,0.862
4,1982.0,2.9,31.9,1.1,0.1,18.4,17.9,0.375,0.475,0.747
5,1982.0,6.5,7.5,0.4,0.9,24.0,8.5,0.0,0.33299999999999996,0.556
6,1982.0,0.0,0.0,0.0,0.0,66.7,17.6,0.0,1.0,0.0
7,1982.0,14.5,10.2,0.8,2.1,21.4,20.5,0.0,0.47700000000000004,0.364
8,1982.0,15.0,5.7,1.4,3.5,18.4,20.3,0.0,0.523,0.624
9,1982.0,11.7,13.1,2.2,0.4,7.7,22.0,0.409,0.47600000000000003,0.83
10,1982.0,13.0,11.5,1.5,0.5,12.5,19.9,0.0,0.483,0.684
11,1982.0,11.2,9.8,1.8,1.3,15.2,22.4,0.33299999999999996,0.439,0.66
12,1982.0,13.0,6.3,1.2,2.2,15.2,17.9,0.33299999999999996,0.512,0.588
13,1982.0,4.9,13.9,1.6,0.2,10.6,29.4,0.293,0.484,0.787
14,1982.0,7.4,0.0,2.1,0.0,37.6,19.1,0.0,0.5,0.16699999999999998
15,1982.0,14.5,8.8,1.2,2.2,15.5,16.3,0.273,0.508,0.804
16,1982.0,15.8,22.5,2.3,1.2,13.8,25.2,0.212,0.514,0.863
17,1982.0,5.3,18.2,1.4,0.3,10.7,23.4,0.0,0.479,0.583
18,1982.0,7.3,8.3,1.1,0.9,10.4,22.7,0.25,0.515,0.768
19,1982.0,4.3,18.9,2.0,0.2,18.7,22.1,0.222,0.48,0.643
20,1982.0,11.2,4.6,1.7,0.9,18.4,18.9,0.0,0.529,0.604
21,1982.0,6.2,8.5,2.0,1.0,19.9,22.0,0.0,0.455,0.677
22,1982.0,5.1,11.4,4.0,0.6,17.9,17.4,0.25,0.44799999999999995,0.74
23,1982.0,10.6,4.6,1.4,1.3,18.5,16.5,0.0,0.40399999999999997,0.917
24,1982.0,5.5,34.2,1.9,0.4,18.0,19.0,0.33299999999999996,0.431,0.7829999999999999
25,1982.0,14.9,4.8,1.9,2.5,16.8,9.1,0.16699999999999998,0.473,0.368
26,1982.0,4.5,17.9,1.8,0.6,7.8,29.0,0.3,0.51,0.875
27,1982.0,3.6,11.1,1.7,0.8,9.1,23.9,0.23800000000000002,0.47,0.779
28,1982.0,7.8,17.6,1.5,0.2,11.8,24.1,0.444,0.483,0.8640000000000001
29,1982.0,9.5,29.3,1.6,0.2,22.4,14.9,0.16699999999999998,0.447,0.8170000000000001
30,1982.0,7.0,20.6,2.3,0.7,17.2,19.2,0.281,0.47,0.726
31,1982.0,13.5,12.2,1.9,0.8,14.3,20.4,0.0,0.507,0.757
32,1982.0,4.3,20.1,1.9,0.1,9.5,23.6,0.325,0.46799999999999997,0.86
33,1982.0,15.8,2.0,1.4,1.3,15.1,17.8,0.0,0.45899999999999996,0.705
34,1982.0,8.2,13.1,1.9,0.8,18.4,20.3,0.267,0.496,0.785
35,1982.0,6.6,21.4,3.9,0.1,16.7,20.5,0.267,0.486,0.655
36,1982.0,11.3,19.7,9.7,3.7,31.1,13.5,0.0,0.0,0.833
37,1982.0,3.3,14.2,1.4,0.0,39.6,14.8,0.0,0.4,0.5
38,1982.0,3.0,22.8,1.6,0.0,34.8,16.5,0.0,0.455,0.667
39,1982.0,4.8,22.5,3.2,0.6,11.4,13.7,0.386,0.48200000000000004,0.813
40,1982.0,15.0,6.3,1.9,0.6,15.3,20.4,0.111,0.524,0.659
41,1982.0,16.9,7.2,0.6,0.7,16.4,21.5,0.0,0.461,0.6459999999999999
42,1982.0,6.4,12.6,2.4,0.9,12.0,16.2,0.294,0.457,0.7070000000000001
